Date, Open, High, Low, Close, Total Volume, UnAdjusted Close
19840730,778.70000000,778.70000000,778.70000000,778.70000000,       0,778.70000000
19840731,790.50000000,790.50000000,790.50000000,790.50000000,       0,790.50000000
19840801,795.20000000,795.20000000,795.20000000,795.20000000,       0,795.20000000
19840802,809.10000000,809.10000000,809.10000000,809.10000000,       0,809.10000000
19840803,831.40000000,831.40000000,831.40000000,831.40000000,       0,831.40000000
19840806,830.30000000,830.30000000,830.30000000,830.30000000,       0,830.30000000
19840807,830.50000000,830.50000000,830.50000000,830.50000000,       0,830.50000000
19840808,839.00000000,839.00000000,839.00000000,839.00000000,       0,839.00000000
19840809,827.10000000,827.10000000,827.10000000,827.10000000,       0,827.10000000
19840810,846.30000000,846.30000000,846.30000000,846.30000000,       0,846.30000000
19840813,840.50000000,840.50000000,840.50000000,840.50000000,       0,840.50000000
19840814,844.60000000,844.60000000,844.60000000,844.60000000,       0,844.60000000
19840815,841.60000000,841.60000000,841.60000000,841.60000000,       0,841.60000000
19840816,834.10000000,834.10000000,834.10000000,834.10000000,       0,834.10000000
19840817,838.30000000,838.30000000,838.30000000,838.30000000,       0,838.30000000
19840820,833.20000000,833.20000000,833.20000000,833.20000000,       0,833.20000000
19840821,839.00000000,839.00000000,839.00000000,839.00000000,       0,839.00000000
19840822,841.60000000,841.60000000,841.60000000,841.60000000,       0,841.60000000
19840823,835.20000000,835.20000000,835.20000000,835.20000000,       0,835.20000000
19840824,836.80000000,836.80000000,836.80000000,836.80000000,       0,836.80000000
19840827,836.80000000,836.80000000,836.80000000,836.80000000,       0,836.80000000
19840828,832.40000000,832.40000000,832.40000000,832.40000000,       0,832.40000000
19840829,849.80000000,849.80000000,849.80000000,849.80000000,       0,849.80000000
19840830,852.50000000,852.50000000,852.50000000,852.50000000,       0,852.50000000
19840831,853.70000000,853.70000000,853.70000000,853.70000000,       0,853.70000000
19840903,855.10000000,855.10000000,855.10000000,855.10000000,       0,855.10000000
19840904,838.30000000,838.30000000,838.30000000,838.30000000,       0,838.30000000
19840905,839.90000000,839.90000000,839.90000000,839.90000000,       0,839.90000000
19840906,848.90000000,848.90000000,848.90000000,848.90000000,       0,848.90000000
19840907,851.70000000,851.70000000,851.70000000,851.70000000,       0,851.70000000
19840910,851.70000000,851.70000000,851.70000000,851.70000000,       0,851.70000000
19840911,858.00000000,858.00000000,858.00000000,858.00000000,       0,858.00000000
19840912,857.60000000,857.60000000,857.60000000,857.60000000,       0,857.60000000
19840913,858.80000000,858.80000000,858.80000000,858.80000000,       0,858.80000000
19840914,859.40000000,859.40000000,859.40000000,859.40000000,       0,859.40000000
19840917,859.00000000,859.00000000,859.00000000,859.00000000,       0,859.00000000
19840918,858.00000000,858.00000000,858.00000000,858.00000000,       0,858.00000000
19840919,871.80000000,871.80000000,871.80000000,871.80000000,       0,871.80000000
19840920,868.20000000,868.20000000,868.20000000,868.20000000,       0,868.20000000
19840921,871.40000000,871.40000000,871.40000000,871.40000000,       0,871.40000000
19840924,863.40000000,863.40000000,863.40000000,863.40000000,       0,863.40000000
19840925,870.00000000,870.00000000,870.00000000,870.00000000,       0,870.00000000
19840926,869.00000000,869.00000000,869.00000000,869.00000000,       0,869.00000000
19840927,872.00000000,872.00000000,872.00000000,872.00000000,       0,872.00000000
19840928,868.40000000,868.40000000,868.40000000,868.40000000,       0,868.40000000
19841001,856.90000000,856.90000000,856.90000000,856.90000000,       0,856.90000000
19841002,858.60000000,858.60000000,858.60000000,858.60000000,       0,858.60000000
19841003,857.40000000,857.40000000,857.40000000,857.40000000,       0,857.40000000
19841004,857.80000000,857.80000000,857.80000000,857.80000000,       0,857.80000000
19841005,863.20000000,863.20000000,863.20000000,863.20000000,       0,863.20000000
19841008,866.60000000,866.60000000,866.60000000,866.60000000,       0,866.60000000
19841009,866.20000000,866.20000000,866.20000000,866.20000000,       0,866.20000000
19841010,866.80000000,866.80000000,866.80000000,866.80000000,       0,866.80000000
19841011,870.60000000,870.60000000,870.60000000,870.60000000,       0,870.60000000
19841012,876.00000000,876.00000000,876.00000000,876.00000000,       0,876.00000000
19841015,881.60000000,881.60000000,881.60000000,881.60000000,       0,881.60000000
19841016,866.60000000,866.60000000,866.60000000,866.60000000,       0,866.60000000
19841017,838.70000000,838.70000000,838.70000000,838.70000000,       0,838.70000000
19841018,834.50000000,834.50000000,834.50000000,834.50000000,       0,834.50000000
19841019,853.50000000,853.50000000,853.50000000,853.50000000,       0,853.50000000
19841022,855.50000000,855.50000000,855.50000000,855.50000000,       0,855.50000000
19841023,867.20000000,867.20000000,867.20000000,867.20000000,       0,867.20000000
19841024,866.20000000,866.20000000,866.20000000,866.20000000,       0,866.20000000
19841025,870.00000000,870.00000000,870.00000000,870.00000000,       0,870.00000000
19841026,873.20000000,873.20000000,873.20000000,873.20000000,       0,873.20000000
19841029,878.20000000,878.20000000,878.20000000,878.20000000,       0,878.20000000
19841030,855.10000000,855.10000000,855.10000000,855.10000000,       0,855.10000000
19841031,888.00000000,888.00000000,888.00000000,888.00000000,       0,888.00000000
19841101,896.90000000,896.90000000,896.90000000,896.90000000,       0,896.90000000
19841102,907.60000000,907.60000000,907.60000000,907.60000000,       0,907.60000000
19841105,903.10000000,903.10000000,903.10000000,903.10000000,       0,903.10000000
19841106,901.00000000,901.00000000,901.00000000,901.00000000,       0,901.00000000
19841107,894.10000000,894.10000000,894.10000000,894.10000000,       0,894.10000000
19841108,893.00000000,893.00000000,893.00000000,893.00000000,       0,893.00000000
19841109,900.10000000,900.10000000,900.10000000,900.10000000,       0,900.10000000
19841112,914.70000000,914.70000000,914.70000000,914.70000000,       0,914.70000000
19841113,924.20000000,924.20000000,924.20000000,924.20000000,       0,924.20000000
19841114,923.70000000,923.70000000,923.70000000,923.70000000,       0,923.70000000
19841115,911.60000000,911.60000000,911.60000000,911.60000000,       0,911.60000000
19841116,920.00000000,920.00000000,920.00000000,920.00000000,       0,920.00000000
19841119,919.10000000,919.10000000,919.10000000,919.10000000,       0,919.10000000
19841120,912.80000000,912.80000000,912.80000000,912.80000000,       0,912.80000000
19841121,918.70000000,918.70000000,918.70000000,918.70000000,       0,918.70000000
19841122,909.90000000,909.90000000,909.90000000,909.90000000,       0,909.90000000
19841123,910.30000000,910.30000000,910.30000000,910.30000000,       0,910.30000000
19841126,922.10000000,922.10000000,922.10000000,922.10000000,       0,922.10000000
19841127,925.30000000,925.30000000,925.30000000,925.30000000,       0,925.30000000
19841128,929.20000000,929.20000000,929.20000000,929.20000000,       0,929.20000000
19841129,925.80000000,925.80000000,925.80000000,925.80000000,       0,925.80000000
19841130,917.30000000,917.30000000,917.30000000,917.30000000,       0,917.30000000
19841203,924.90000000,924.90000000,924.90000000,924.90000000,       0,924.90000000
19841204,917.50000000,917.50000000,917.50000000,917.50000000,       0,917.50000000
19841205,914.90000000,914.90000000,914.90000000,914.90000000,       0,914.90000000
19841206,908.40000000,908.40000000,908.40000000,908.40000000,       0,908.40000000
19841207,923.00000000,923.00000000,923.00000000,923.00000000,       0,923.00000000
19841210,930.30000000,930.30000000,930.30000000,930.30000000,       0,930.30000000
19841211,930.10000000,930.10000000,930.10000000,930.10000000,       0,930.10000000
19841212,922.30000000,922.30000000,922.30000000,922.30000000,       0,922.30000000
19841213,927.60000000,927.60000000,927.60000000,927.60000000,       0,927.60000000
19841214,935.40000000,935.40000000,935.40000000,935.40000000,       0,935.40000000
19841217,938.30000000,938.30000000,938.30000000,938.30000000,       0,938.30000000
19841218,939.90000000,939.90000000,939.90000000,939.90000000,       0,939.90000000
19841219,942.60000000,942.60000000,942.60000000,942.60000000,       0,942.60000000
19841220,930.30000000,930.30000000,930.30000000,930.30000000,       0,930.30000000
19841221,924.30000000,924.30000000,924.30000000,924.30000000,       0,924.30000000
19841224,926.00000000,926.00000000,926.00000000,926.00000000,       0,926.00000000
19841225,926.00000000,926.00000000,926.00000000,926.00000000,       0,926.00000000
19841226,926.00000000,926.00000000,926.00000000,926.00000000,       0,926.00000000
19841227,929.00000000,929.00000000,929.00000000,929.00000000,       0,929.00000000
19841228,945.20000000,945.20000000,945.20000000,945.20000000,       0,945.20000000
19841231,952.30000000,952.30000000,952.30000000,952.30000000,       0,952.30000000
19850101,952.30000000,952.30000000,952.30000000,952.30000000,       0,952.30000000
19850102,940.40000000,940.40000000,940.40000000,940.40000000,       0,940.40000000
19850103,928.70000000,928.70000000,928.70000000,928.70000000,       0,928.70000000
19850104,941.00000000,941.00000000,941.00000000,941.00000000,       0,941.00000000
19850107,955.70000000,955.70000000,955.70000000,955.70000000,       0,955.70000000
19850108,971.20000000,971.20000000,971.20000000,971.20000000,       0,971.20000000
19850109,983.10000000,983.10000000,983.10000000,983.10000000,       0,983.10000000
19850110,982.40000000,982.40000000,982.40000000,982.40000000,       0,982.40000000
19850111,968.30000000,968.30000000,968.30000000,968.30000000,       0,968.30000000
19850114,949.30000000,949.30000000,949.30000000,949.30000000,       0,949.30000000
19850115,961.80000000,961.80000000,961.80000000,961.80000000,       0,961.80000000
19850116,981.30000000,981.30000000,981.30000000,981.30000000,       0,981.30000000
19850117,987.20000000,987.20000000,987.20000000,987.20000000,       0,987.20000000
19850118,1004.40000000,1004.40000000,1004.40000000,1004.40000000,       0,1004.40000000
19850121,1003.90000000,1003.90000000,1003.90000000,1003.90000000,       0,1003.90000000
19850122,1024.50000000,1024.50000000,1024.50000000,1024.50000000,       0,1024.50000000
19850123,1003.70000000,1003.70000000,1003.70000000,1003.70000000,       0,1003.70000000
19850124,991.70000000,991.70000000,991.70000000,991.70000000,       0,991.70000000
19850125,1002.80000000,1002.80000000,1002.80000000,1002.80000000,       0,1002.80000000
19850128,977.90000000,977.90000000,977.90000000,977.90000000,       0,977.90000000
19850129,961.20000000,961.20000000,961.20000000,961.20000000,       0,961.20000000
19850130,988.70000000,988.70000000,988.70000000,988.70000000,       0,988.70000000
19850131,986.10000000,986.10000000,986.10000000,986.10000000,       0,986.10000000
19850201,977.50000000,977.50000000,977.50000000,977.50000000,       0,977.50000000
19850204,968.30000000,968.30000000,968.30000000,968.30000000,       0,968.30000000
19850205,982.40000000,982.40000000,982.40000000,982.40000000,       0,982.40000000
19850206,983.30000000,983.30000000,983.30000000,983.30000000,       0,983.30000000
19850207,989.20000000,989.20000000,989.20000000,989.20000000,       0,989.20000000
19850208,988.50000000,988.50000000,988.50000000,988.50000000,       0,988.50000000
19850211,991.10000000,991.10000000,991.10000000,991.10000000,       0,991.10000000
19850212,970.10000000,970.10000000,970.10000000,970.10000000,       0,970.10000000
19850213,977.90000000,977.90000000,977.90000000,977.90000000,       0,977.90000000
19850214,984.70000000,984.70000000,984.70000000,984.70000000,       0,984.70000000
19850215,979.90000000,979.90000000,979.90000000,979.90000000,       0,979.90000000
19850218,970.50000000,970.50000000,970.50000000,970.50000000,       0,970.50000000
19850219,977.50000000,977.50000000,977.50000000,977.50000000,       0,977.50000000
19850220,981.30000000,981.30000000,981.30000000,981.30000000,       0,981.30000000
19850221,984.90000000,984.90000000,984.90000000,984.90000000,       0,984.90000000
19850222,975.20000000,975.20000000,975.20000000,975.20000000,       0,975.20000000
19850225,968.00000000,968.00000000,968.00000000,968.00000000,       0,968.00000000
19850226,975.00000000,975.00000000,975.00000000,975.00000000,       0,975.00000000
19850227,980.20000000,980.20000000,980.20000000,980.20000000,       0,980.20000000
19850228,979.90000000,979.90000000,979.90000000,979.90000000,       0,979.90000000
19850301,975.00000000,975.00000000,975.00000000,975.00000000,       0,975.00000000
19850304,979.90000000,979.90000000,979.90000000,979.90000000,       0,979.90000000
19850305,982.00000000,982.00000000,982.00000000,982.00000000,       0,982.00000000
19850306,990.40000000,990.40000000,990.40000000,990.40000000,       0,990.40000000
19850307,987.60000000,987.60000000,987.60000000,987.60000000,       0,987.60000000
19850308,988.10000000,988.10000000,988.10000000,988.10000000,       0,988.10000000
19850311,982.20000000,982.20000000,982.20000000,982.20000000,       0,982.20000000
19850312,990.40000000,990.40000000,990.40000000,990.40000000,       0,990.40000000
19850313,987.40000000,987.40000000,987.40000000,987.40000000,       0,987.40000000
19850314,990.10000000,990.10000000,990.10000000,990.10000000,       0,990.10000000
19850315,1002.50000000,1002.50000000,1002.50000000,1002.50000000,       0,1002.50000000
19850318,995.40000000,995.40000000,995.40000000,995.40000000,       0,995.40000000
19850319,997.50000000,997.50000000,997.50000000,997.50000000,       0,997.50000000
19850320,1001.90000000,1001.90000000,1001.90000000,1001.90000000,       0,1001.90000000
19850321,993.10000000,993.10000000,993.10000000,993.10000000,       0,993.10000000
19850322,992.40000000,992.40000000,992.40000000,992.40000000,       0,992.40000000
19850325,989.90000000,989.90000000,989.90000000,989.90000000,       0,989.90000000
19850326,982.00000000,982.00000000,982.00000000,982.00000000,       0,982.00000000
19850327,979.30000000,979.30000000,979.30000000,979.30000000,       0,979.30000000
19850328,978.10000000,978.10000000,978.10000000,978.10000000,       0,978.10000000
19850329,964.30000000,964.30000000,964.30000000,964.30000000,       0,964.30000000
19850401,963.80000000,963.80000000,963.80000000,963.80000000,       0,963.80000000
19850402,969.40000000,969.40000000,969.40000000,969.40000000,       0,969.40000000
19850403,956.50000000,956.50000000,956.50000000,956.50000000,       0,956.50000000
19850404,962.50000000,962.50000000,962.50000000,962.50000000,       0,962.50000000
19850405,962.50000000,962.50000000,962.50000000,962.50000000,       0,962.50000000
19850408,962.50000000,962.50000000,962.50000000,962.50000000,       0,962.50000000
19850409,955.90000000,955.90000000,955.90000000,955.90000000,       0,955.90000000
19850410,960.30000000,960.30000000,960.30000000,960.30000000,       0,960.30000000
19850411,957.40000000,957.40000000,957.40000000,957.40000000,       0,957.40000000
19850412,967.80000000,967.80000000,967.80000000,967.80000000,       0,967.80000000
19850415,977.00000000,977.00000000,977.00000000,977.00000000,       0,977.00000000
19850416,979.50000000,979.50000000,979.50000000,979.50000000,       0,979.50000000
19850417,988.80000000,988.80000000,988.80000000,988.80000000,       0,988.80000000
19850418,991.50000000,991.50000000,991.50000000,991.50000000,       0,991.50000000
19850419,978.80000000,978.80000000,978.80000000,978.80000000,       0,978.80000000
19850422,971.60000000,971.60000000,971.60000000,971.60000000,       0,971.60000000
19850423,959.60000000,959.60000000,959.60000000,959.60000000,       0,959.60000000
19850424,962.50000000,962.50000000,962.50000000,962.50000000,       0,962.50000000
19850425,965.60000000,965.60000000,965.60000000,965.60000000,       0,965.60000000
19850426,970.90000000,970.90000000,970.90000000,970.90000000,       0,970.90000000
19850429,968.50000000,968.50000000,968.50000000,968.50000000,       0,968.50000000
19850430,971.40000000,971.40000000,971.40000000,971.40000000,       0,971.40000000
19850501,978.40000000,978.40000000,978.40000000,978.40000000,       0,978.40000000
19850502,989.90000000,989.90000000,989.90000000,989.90000000,       0,989.90000000
19850503,989.90000000,989.90000000,989.90000000,989.90000000,       0,989.90000000
19850506,989.90000000,989.90000000,989.90000000,989.90000000,       0,989.90000000
19850507,985.80000000,985.80000000,985.80000000,985.80000000,       0,985.80000000
19850508,988.50000000,988.50000000,988.50000000,988.50000000,       0,988.50000000
19850509,991.10000000,991.10000000,991.10000000,991.10000000,       0,991.10000000
19850510,1001.90000000,1001.90000000,1001.90000000,1001.90000000,       0,1001.90000000
19850513,1016.90000000,1016.90000000,1016.90000000,1016.90000000,       0,1016.90000000
19850514,1012.30000000,1012.30000000,1012.30000000,1012.30000000,       0,1012.30000000
19850515,1022.30000000,1022.30000000,1022.30000000,1022.30000000,       0,1022.30000000
19850516,1012.50000000,1012.50000000,1012.50000000,1012.50000000,       0,1012.50000000
19850517,1008.30000000,1008.30000000,1008.30000000,1008.30000000,       0,1008.30000000
19850520,1016.00000000,1016.00000000,1016.00000000,1016.00000000,       0,1016.00000000
19850521,1020.20000000,1020.20000000,1020.20000000,1020.20000000,       0,1020.20000000
19850522,1020.90000000,1020.90000000,1020.90000000,1020.90000000,       0,1020.90000000
19850523,1010.20000000,1010.20000000,1010.20000000,1010.20000000,       0,1010.20000000
19850524,1001.60000000,1001.60000000,1001.60000000,1001.60000000,       0,1001.60000000
19850527,1001.60000000,1001.60000000,1001.60000000,1001.60000000,       0,1001.60000000
19850528,1006.50000000,1006.50000000,1006.50000000,1006.50000000,       0,1006.50000000
19850529,999.10000000,999.10000000,999.10000000,999.10000000,       0,999.10000000
19850530,1004.60000000,1004.60000000,1004.60000000,1004.60000000,       0,1004.60000000
19850531,1002.50000000,1002.50000000,1002.50000000,1002.50000000,       0,1002.50000000
19850603,1010.70000000,1010.70000000,1010.70000000,1010.70000000,       0,1010.70000000
